000328|OrganizationIndicator|RefOrganizationIndicatorId|10
000328|RefOrganizationIndicator||10
000001|PsStudentAcademicAward|AcademicAwardDate|10
000002|PsStudentAcademicAward|RefAcademicAwardLevelId|10
000002|RefAcademicAwardLevel||10
000003|PsStudentAcademicAward|AcademicAwardTitle|10
000004|K12StudentAcademicHonor|RefAcademicHonorTypeId|10
000004|RefAcademicHonorType||10
000005|OrganizationFederalAccountability|AccountabilityReportTitle|10
000006|OrganizationIdentifier|RefOrganizationIdentifierTypeId|10
000006|RefOrganizationIdentificationSystem||10
000007|OrganizationPersonRole|EntryDate|10
000008|OrganizationPersonRole|ExitDate|10
000009|OrganizationDetail|Name|10
000011|OrganizationFederalAccountability|RefAypStatusId|10
000011|RefAypStatus||10
000012|K12School|RefAdministrativeFundingControlId|10
000012|PsInstitution|RefAdministrativeFundingControlId|10
000012|RefAdministrativeFundingControl||10
000013|CteCourse|CourseAlignedWithStandards|10
000013|K12Course|CourseAlignedWithStandards|10
000014|OrganizationFederalAccountability|AlternateAypApproachIndicator|10
000015|K12SchoolStatus|RefAlternativeSchoolFocusId|10
000015|RefAlternativeSchoolFocus||10
000017|RefOrganizationIndicator||10
000018|PsStudentAcademicRecord|AdvancedPlacementCreditsAwarded|10
000019|LocationAddress|ApartmentRoomOrSuiteNumber|10
000019|PersonAddress|ApartmentRoomOrSuiteNumber|10
000021|Assessment|RefAcademicSubjectId|10
000021|AssessmentSubtest|RefAcademicSubjectId|10
000021|RefAcademicSubject||10
000024|AssessmentForm|Name|10
000025|AssessmentRegistration|RefAssessmentParticipationIndicatorId|10
000025|RefAssessmentParticipationIndicator||10
000026|Assessment|RefAssessmentPurposeId|10
000026|AssessmentRegistration|RefAssessmentPurposeId|10
000026|AssessmentSubtest|RefAssessmentPurposeId|10
000026|RefAssessmentPurpose||10
000027|CourseSectionAssessmentReporting|RefCourseSectionAssessmentReportingMethodId|10
000027|RefCourseSectionAssessmentReportingMethod||10
000028|Assessment|Title|10
000029|Assessment|RefAssessmentTypeId|10
000029|RefAssessmentType||10
000030|CourseSection|AvailableCarnegieUnitCredit|10
000030|CteCourse|AvailableCarnegieUnitCredit|10
000030|K12Course|AvailableCarnegieUnitCredit|10
000031|ProgramParticipationSpecialEducation|AwaitingInitialIDEAEvaluationStatus|10
000032|StaffCompensation|StaffCompensationBaseSalary|10
000033|PersonDetail|Birthdate|10
000035|PsStudentDemographic|RefCampusResidencyTypeId|10
000035|RefCampusResidencyType||10
000036|ProgramParticipationCte|CteCompleter|10
000037|ProgramParticipationCte|CteConcentrator|10
000038|PsInstitution|RefCarnegieBasicClassificationId|10
000038|RefCarnegieBasicClassification||10
000039|K12Lea|CharterSchoolIndicator|10
000039|K12School|CharterSchoolIndicator|10
