Id,AutobahnDomainId,AutobahnElementId,GlobalId,ModelName,ColumnName,Description,Version
fc0a02c8-d44a-4538-b30c-76ba726cd8d3,6d255e48-2117-43d5-9611-cfc8c9baabec,,000328,OrganizationIndicator,RefOrganizationIndicatorId,,10
cddd4e83-2bdf-4680-94d7-1b8a19d7f2d3,6d255e48-2117-43d5-9611-cfc8c9baabec,,000328,RefOrganizationIndicator,,,10
d733c3b1-3002-445e-af0b-38c14ec2c357,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,,000001,PsStudentAcademicAward,AcademicAwardDate,,10
a275f202-4f78-41ef-b427-a5a8658cce52,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,,000002,PsStudentAcademicAward,RefAcademicAwardLevelId,,10
bae5b8f1-4d6c-47cb-a2ae-0a9e3d81b586,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,,000002,RefAcademicAwardLevel,,,10
90beb1cc-cd41-43d0-892c-d918a08760cd,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,,000003,PsStudentAcademicAward,AcademicAwardTitle,,10
d051c046-23e1-4cc0-a0d7-09cbc55e9936,eec759ad-0993-445b-bf4a-897fea418edf,,000004,K12StudentAcademicHonor,RefAcademicHonorTypeId,,10
5922ac52-20dd-44d4-81e5-05a7fe4cabb7,eec759ad-0993-445b-bf4a-897fea418edf,,000004,RefAcademicHonorType,,,10
b5337e75-4050-434b-80b7-613b3d565c14,6d255e48-2117-43d5-9611-cfc8c9baabec,,000005,OrganizationFederalAccountability,AccountabilityReportTitle,,10
e2d34215-6cb7-4c47-91fc-dc76fca7c088,6d255e48-2117-43d5-9611-cfc8c9baabec,,000006,OrganizationIdentifier,RefOrganizationIdentifierTypeId,,10
e3900170-edff-463a-a6ba-bc3639da992a,6d255e48-2117-43d5-9611-cfc8c9baabec,,000006,RefOrganizationIdentificationSystem,,,10
496593f8-7b21-4776-99bc-a3f7c5dc6de6,6d255e48-2117-43d5-9611-cfc8c9baabec,,000007,OrganizationPersonRole,EntryDate,,10
