000328|Ability Grouping Status||An indication of whether the school has students who are ability grouped for classroom instruction in mathematics or English/reading/language arts.||1||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19000|10|19000|Updated|Added elements to DES contexts to support post-secondary needs
000001|Academic Award Date||The year, month and day or year and month on which the academic award was conferred.|YYYY-MM-DD or YYYY-MM|0||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19001|10|19001||
000002|Academic Award Level Conferred||An indicator of the category of award conferred by a college, university, or other postsecondary education institution as official recognition for the successful completion of a program of study.   ||1||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19002|10|19002||
000003|Academic Award Title||The descriptive title for the academic award.|Alphanumeric - 80 characters maximum|0||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19003|10|19003||
000004|Academic Honors Type||A designation of the type of academic distinctions earned by or awarded to the student.||1||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19004|10|19004||
000005|Accountability Report Title||The title of the accountability report.|Alphanumeric - 80 characters maximum|0||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19005|10|19005||
000006|Activity Identifier||A unique number or alphanumeric code used in the local system to identify an activity, such as a co-curricular or extra-curricular activity that is offered at an education institution.|Alphanumeric - 40 characters maximum|0|CEDS "Identifier" elements reflect the intent of the XSD:Token format, i.e. a string in which carriage return, line feed, and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID), i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.|https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19006|10|19006||
000007|Activity Involvement Begin Date||The year, month and day on which the person began to participate in the activity.|YYYY-MM-DD|0||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19007|10|19007||
000008|Activity Involvement End Date||The year, month and day on which the person ceased to participate in the activity.|YYYY-MM-DD|0|All CEDS Exit and End Dates represent the last day of the date range specified, such as the last day that a person was enrolled, participated, or received services.|https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19008|10|19008||
000009|Activity Title||The title for a particular activity, such as a co-curricular or extra-curricular activity.|Alphanumeric - 60 characters maximum|0||https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19009|10|19009||
